98,Бастурма турецкая,14.80,20.10,,240
99,Батон Нарезной,7.50,2.90,50.90,264
100,Батон Подмосковный,7.50,2.60,50.60,261
101,Батон с пшеничными отрубями,9.20,2.80,51.40,273
102,Батон Столичный,7.70,0.80,50.20,243
103,Батончик BSN Syntha-6 Decadence,31.60,12.60,44.20,389
104,Батончик Corny Big злаковый с бананом и шоколадом,6.10,15.20,65.60,424
105,Батончик Corny Big злаковый с клюквой,5.90,7.40,71.40,377
106,Батончик Corny Big злаковый с лесными орехами,6.40,15.60,63.20,419
107,Батончик Corny Big злаковый с шоколадом,7.00,17.00,62.90,433
108,Батончик Dymatize Elite XT Gourmet Protein Bar 42,35.30,11.80,40.00,376
109,Батончик Dymatize Elite XT Gourmet Protein Bar 85,37.60,14.10,24.70,412
110,Батончик Energy System Perform-Bar,10.00,5.00,73.00,374
111,Батончик Herbalife Протеиновый,29.00,8.60,46.00,383
112,Батончик Herbalife Формула 1 Экспресс,23.70,10.70,37.10,369
113,Батончик Ironman Slim Bar протеиновый с L-карнитином,14.00,8.00,48.00,320
114,Батончик Multipower 32% Protein Pack,31.70,11.00,45.00,407
115,Батончик Multipower Crunch Fit,15.80,14.70,55.60,419
116,Батончик Multipower Energate!,20.00,21.70,42.90,451
117,Батончик Multipower L-Carnitine Bar,25.00,8.60,38.00,348
118,Батончик Multipower Power Pack,28.60,10.60,45.70,389
119,Батончик MyProtein My Bar Zero,31.00,9.50,3.90,304
120,Батончик Nestle Fitness с цельными злаками и клубникой,5.80,6.70,68.90,369
121,Батончик Optimum 100% Whey Crisp Bar,37.10,3.60,48.60,357
122,Батончик Optimum Complete Protein Diet Bar,40.00,6.00,36.00,360
123,Батончик Optimum Optimal Protein Diet Bar,40.00,5.00,46.00,360
124,Батончик Performance Bar,5.90,19.30,60.40,439
125,Батончик Scitec Nutrition Jumbo Bar Double Chocolate Cookie,50.00,8.20,26.00,378
126,Батончик Леовит Худеем за неделю Мюсли Фенхель с зелёным чаем,4.20,12.40,59.20,367
127,Батончик мюсли DiYes Чернослив в шоколаде,4.00,11.00,70.00,390
128,Батончик мюсли Ego с бананом в шоколаде,5.00,13.50,68.00,416
129,Батончик мюсли Ego с вишней в йогурте,6.00,14.00,56.00,416
130,Батончик мюсли Ego с клубникой в йогурте,4.00,14.50,67.50,418
131,Батончик мюсли Ego с лесными ягодами в йогурте,4.00,13.50,69.50,418
132,Батончик мюсли Ego с черникой в йогурте,5.50,14.00,67.50,420
133,Батончик мюсли Tekmar клубника в йогурте,4.50,16.80,70.70,452
134,Батончик Пульсар с миндалем в шоколадной глазури,6.30,13.90,58.80,385
135,Батончик Сладкий мир фруктовый хлеб банановый,6.80,9.60,59.90,352
136,Батончик Турбослим белковый для похудения,16.00,8.00,18.00,220
137,Батончик фруктовый Joyfield с абрикосом в шоколаде,9.80,0.60,72.30,352
138,Батончик фруктовый Joyfield с абрикосом и яблоком,3.70,0.30,74.80,282
139,Батончик фруктовый Joyfield с лимонником и папайей,4.10,0.30,77.00,302
140,Батончик фруктовый Joyfield с полевой клубникой,4.50,0.40,75.40,286
141,Батончик фруктовый Joyfield с черникой,4.50,0.40,73.30,273
142,Батончик фруктовый Joyfield с черносливом в шоколаде,7.80,1.00,67.70,340
143,Батончик фруктовый Joyfield с черносливом и ананасом,3.40,0.50,75.10,314
144,Батончик фруктовый Joyfield с черносливом и яблоком,2.10,0.50,70.20,280
145,Баурсак,6.80,2.60,45.80,234
146,Бахарат,10.90,3.20,38.30,255
147,Бедренец камнеломка,,,,
148,Бекон,23.00,45.00,,500
149,Белоглазка,17.50,2.00,,88
150,Белорыбица,17.50,2.00,,88
151,Белуга бланшированная,23.30,15.60,,234
152,Белуга свежая,21.00,0.70,,147
153,Белуга сушеная,69.90,5.30,,327
154,Белые грибы Hortex,3.70,1.70,1.10,34
155,Белые жареные,4.60,11.50,10.70,162
156,Белые маринованные,3.00,0.50,2.00,24
157,Белые свежие,3.70,1.70,1.10,34
158,Белые сушёные,23.40,6.40,31.00,282
159,Бельдюга,17.50,2.00,,88
160,Бербере,2.00,0.10,11.00,71
161,Березовый сок,0.10,,5.80,24
162,Берикс,20.30,0.80,,88
163,Бессмертник,0.20,,5.00,27
164,Бестер,21.00,0.70,,147
165,Бефстроганов,21.90,27.40,5.70,355
166,Бефстроганов из говядины,16.70,11.30,5.90,193
167,Бефстроганов из курицы,14.70,2.00,0.40,163
168,Бефстроганов из свинины,19.40,7.10,,142
169,Бизонье мясо,21.60,1.20,,109
170,Биойогурт Останкинский 2.5%,3.20,2.50,8.90,71
171,Биойогурт Тёма Груша-яблоко,3.20,2.80,11.60,84
172,Биойогурт Тёма Зеленое яблоко,3.20,2.80,11.70,85
173,Биойогурт Тёма Лесные ягоды,3.20,2.80,11.50,84
174,Биойогурт Тёма Шиповник-малина,3.20,2.80,12.00,86
175,Биокефир Агуша 3.2%,2.70,3.20,4.00,56
176,Биокефир Вкуснотеево 1%,3.10,1.00,5.50,43
177,Биокефир Останкинский 0.1%,3.00,0.10,3.60,27
178,Биокефир Тёма детский 3.2%,2.80,3.20,4.10,56
179,Биотворог Тёма c черникой,7.90,4.20,10.30,111
180,Биотворог Тёма c черносливом,7.90,4.20,10.10,110
181,Биотворог Тёма классический,9.10,5.00,3.50,95
182,Биотворог Тёма с абрикосом,7.90,4.20,10.40,111
183,Биотворог Тёма с яблоком и морковью,7.90,4.20,10.00,109
184,Бисквитник Сдобная особа медовый с вареной сгущенкой,5.30,19.60,46.10,378
185,Бисквитник Сдобная особа с начинкой маракуйя,3.90,17.20,51.50,375
186,Бисквитник Сдобная особа шоколадный с шоколадной начинкой,4.30,18.30,48.50,378
187,Бифацил,2.90,2.50,7.90,66
188,Бифитат,2.80,3.40,4.70,61
189,Бифштекс,27.80,29.60,1.70,384
190,Блинчики Ермолино с печенью Мамины,8.00,15.00,33.00,299
191,Блины,6.10,12.30,26.00,233
192,Блины с ветчиной,8.90,13.50,33.90,292
193,Блины с ветчиной и сыром,14.30,20.20,35.30,382
194,Блины с грибами,6.70,9.90,21.00,218
195,Блины с красной икрой,12.70,15.20,33.70,324
196,Блины с маслом,8.00,15.20,40.60,332
197,Блины с мёдом,7.20,13.50,50.40,350
198,Блины с сыром,11.40,18.30,34.30,348
199,Блины с сёмгой,11.20,14.90,33.80,313
200,Блины со сгущеным молоком,8.10,12.40,41.70,324
201,Блины со сметаной,7.10,16.30,34.30,311
202,Блюдо армянское Бозбаш 4 сезона,3.00,9.50,4.00,126
203,Блюдо болгарское Жаркое по-деревенски 4 сезона,3.50,11.10,5.50,137
204,Блюдо греческое Мясо по-македонски 4 сезона,5.80,10.10,22.00,206
205,Блюдо грузинское Чахохбили с фасолью 4 сезона,6.20,5.50,3.40,87
206,Блюдо индийское Цыплёнок карри 4 сезона,6.60,3.20,21.00,142
207,Блюдо испанское Паэлья 4 сезона,8.20,3.00,16.30,129
208,Блюдо итальянское Пенне карбонара 4 сезона,5.60,11.40,16.40,188
209,Блюдо итальянское Ризотто с морепродуктами 4 сезона,6.50,6.40,18.80,163
210,Блюдо китайское Курочка по-пекински 4 сезона,5.60,3.30,11.80,102
211,Блюдо китайское Свинина в кисло-сладком соусе 4 сезона,4.40,9.40,14.80,153
212,Блюдо латиноамериканское Цыплёнок по-мексикански 4 сезона,6.60,8.50,10.70,127
213,Блюдо мексиканское Чили кон карне 4 сезона,6.40,8.80,15.70,160
214,Блюдо наше Макароны по-флотски 4 сезона,7.60,9.90,21.20,185
215,Блюдо русское Барашек с гречкой 4 сезона,5.90,13.80,17.70,224
216,Блюдо среднеазиатское Лагман 4 сезона,4.30,8.90,13.30,158
217,Блюдо тайское Лапша карри 4 сезона,5.90,6.40,12.70,128
218,Блюдо узбекское Плов с бараниной 4 сезона,4.20,6.00,14.90,150
219,Блюдо французское Шампиньон де пари 4 сезона,6.70,9.50,5.10,129
220,Блюдо швейцарское Фондю эменталь 4 сезона,7.90,10.20,13.30,175
221,Блюдо японское Сакэна с рисом 4 сезона,5.70,2.40,13.60,103
222,Бобы,6.00,0.10,8.50,57
223,Бобы зелёные,6.00,0.10,10.50,60
224,Болдо,7.60,8.30,48.60,313
225,Большой завтрак McDonalds,30.00,30.00,62.00,640
226,Большой завтрак McDonalds с джемом,30.00,35.00,58.00,675
227,Большой завтрак McDonalds с мёдом,30.00,35.00,60.00,685
228,Бопс (Полосатик),15.30,1.50,,79
229,Бораки,13.70,12.00,30.70,277
230,Борщ 4 сезона Московский,3.50,0.10,8.90,51
231,Борщ Hortex украинский,1.40,0.20,4.80,31
232,Борщ из свежей капусты с мясом,4.40,3.60,5.50,63
233,Борщ Леовит Худеем за неделю Сибирский с мясом,19.00,3.50,48.00,300
234,Борщ летний холодный,1.10,2.10,6.40,49
